alpha,auc,beta,build_seconds,converged,epsilon,experiment,friend_attacks,gamma,iterations,lambda1,lambda2,max_iterations,method,propagation_seconds,repeat,residual,runtime_beta,seed_count,x,xi,zeta
0.01,0.6669043370740793,0.04,1.55328716099757,True,0.001,alpha,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.01,2e-05,0.27
0.01,0.6314251303000422,0.04,0.015548961004242301,True,0.001,alpha,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.01,2e-05,0.27
0.05,0.8605654160992942,0.04,0.061412738999933936,True,0.001,alpha,3200,0.425,44,2.0,3.0,100000,scasan,0.21600291300273966,0,0.0009686214563535201,,10,0.05,2e-05,0.27
0.05,0.6669043370740793,0.04,1.55328716099757,True,0.001,alpha,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.05,2e-05,0.27
0.05,0.6314251303000422,0.04,0.015548961004242301,True,0.001,alpha,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.05,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,alpha,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,0.1,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,alpha,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.1,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,alpha,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.1,2e-05,0.27
0.15,0.8617348139800598,0.04,0.06213227099942742,True,0.001,alpha,3200,0.425,21,2.0,3.0,100000,scasan,0.10136101799434982,0,0.000807044004968284,,10,0.15,2e-05,0.27
0.15,0.6669043370740793,0.04,1.55328716099757,True,0.001,alpha,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.15,2e-05,0.27
0.15,0.6314251303000422,0.04,0.015548961004242301,True,0.001,alpha,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.15,2e-05,0.27
0.2,0.8557181606173013,0.04,0.06085583700041752,True,0.001,alpha,3200,0.425,16,2.0,3.0,100000,scasan,0.07810368599893991,0,0.0008376016441823795,,10,0.2,2e-05,0.27
0.2,0.6669043370740793,0.04,1.55328716099757,True,0.001,alpha,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.2,2e-05,0.27
0.2,0.6314251303000422,0.04,0.015548961004242301,True,0.001,alpha,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.2,2e-05,0.27
0.1,0.8839142132694746,0.01,0.06195932200353127,True,0.001,beta,3200,0.425,31,2.0,3.0,100000,scasan,0.14753469900460914,0,0.0008765617653753419,,10,0.01,2e-05,0.27
0.1,0.6669043370740793,0.01,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.01,2e-05,0.27
0.1,0.6314251303000422,0.01,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.01,2e-05,0.27
0.1,0.8432597235917422,0.1,0.06024909199913964,True,0.001,beta,3200,0.425,24,2.0,3.0,100000,scasan,0.11495176199969137,0,0.0009688617558204032,,10,0.1,2e-05,0.27
0.1,0.6669043370740793,0.1,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.1,2e-05,0.27
0.1,0.6314251303000422,0.1,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.1,2e-05,0.27
0.1,0.8193732450579894,0.2,0.06002979999902891,True,0.001,beta,3200,0.425,20,2.0,3.0,100000,scasan,0.09628603699820815,0,0.0007668805931230453,,10,0.2,2e-05,0.27
0.1,0.6669043370740793,0.2,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.2,2e-05,0.27
0.1,0.6314251303000422,0.2,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.2,2e-05,0.27
0.1,0.7776968743641515,0.4,0.06123678200674476,True,0.001,beta,3200,0.425,14,2.0,3.0,100000,scasan,0.0681069129932439,0,0.0006228380655891076,,10,0.4,2e-05,0.27
